TOOL NAME,W/O,SIZE & THREAD,MATERIAL,MODEL,MATERIAL NO,PART NUMBER,QUANTITY,LOCATION
PFT COLLECT 003,WO24-001-P032-013,"9-5/8""",L80,PFT,N/A,702W000001019-REV-A,1,W/EXT
PFT SHEAR STUD,N/A,N/A,L80,PFT,N/A,N/A,100,COLD RM
PFT-TM,WO25-003-P53-001,N/A,L80,PFT,N/A,712W00001001-REV-A,1,COLD RM
PFT-TM,WO25-003-P53-002,N/A,L80,PFT,N/A,712W00001001-REV-A,1,COLD RM
PFT-TM,WO25-003-P22-002,N/A,L80,PFT,N/A,712W00001001-REV-A,1,COLD RM
PFT-TM,WO25-003-P22-001,N/A,L80,PFT,N/A,712W00001001-REV-A,1,COLD RM
TM-002,12261337/TM002,N/A,L80,SEG,H020822200REV1M; 4504917374,103686209SN06,1,COLD RM
TM-001,TM001,N/A,L80,SEG,H43319,N/A,1,COLD RM
TM-003,TM003,N/A,L80,SEG,N/A,N/A,1,COLD RM
TM-004,TM004,N/A,L80,SEG,N/A,N/A,1,COLD RM
TM-005,TM005,N/A,L80,SEG,H020822200FT,PN171347,1,COLD RM
BLANK PIPE,N/A,"5-1/2"" VAM 21 BOX X PIN",CHROME,TOTAL UPSTREAM NIG,N/A,N/A,38,F OF BASE
BLANK PIPE,N/A,"5-1/2"" VAMTOP BOX X PIN",L80,TOTAL UPSTREAM NIG,N/A,N/A,10,F OF BASE
DRILL PIPE,N/A,"4-1/2"" HCS BOX X PIN",CHROME,,N/A,N/A,32,B OF BASE
BLAST JOINT (20FT),N/A,"2-3/8"" HCS BOX X PIN",L80,BAKER,N/A,N/A,2,B OF BASE
BLAST JOINT (20FT),N/A,"3-1/2"" HCS BOX X PIN",L80,,N/A,N/A,4,B OF BASE
BLAST JOINT (20FT),N/A,"4-1/2"" VAMTOP BOX X PIN",CHROME,,N/A,N/A,4,B OF BASE
PUP JOINT (10FT),N/A,"3-1/2"" HCS BOX X PIN",CHROME,,N/A,N/A,14,B OF BASE
PUP JOINT (10FT),N/A,"3-1/2"" HCS BOX X PIN",L80,,N/A,N/A,1,
PUP JOINT (8FT),N/A,"3-1/2"" HCS BOX X PIN",CHROME,,N/A,N/A,8,B OF BASE
PUP JOINT (6FT),N/A,"3-1/2"" HCS BOX X PIN",CHROME,,N/A,N/A,2,B OF BASE
SBE,N/A,"6-5/8"" VAMTOP PIN X PIN ",CHROME,,N/A,N/A,2,B OF BASE
SBE,N/A,"7-5/8"" STC PIN X PIN",CHROME,,N/A,N/A,4,B OF BASE
FLOW COUPLING (10FT),N/A,"3-1/2"" HCS BOX X PIN",CHROME,,N/A,N/A,3,B OF BASE
MOE,N/A,"7"" BTC PIN X PIN",L80,,N/A,N/A,1,B OF BASE
MOE,N/A,"7"" BTC BOX X PIN",L80,,N/A,N/A,1,B OF BASE
PUP JOINT (6FT),N/A,"3-1/2"" HCS BOX X PIN",CHROME,,N/A,N/A,6,CARAVAN
PUP JOINT (4FT),N/A,"3-1/2"" HCS BOX X PIN",CHROME,,N/A,N/A,4,CARAVAN
PUP JOINT (2FT),N/A,"3-1/2"" HCS BOX X PIN",CHROME,,N/A,N/A,4,CARAVAN
PUP JOINT (2.3FT),N/A,"3-1/2"" HCS BOX X PIN",CHROME,,N/A,N/A,12,CARAVAN
X NIPPLE,#1059987899,"3-1/2"" BLANK X BLANK",CHROME,BAKER,H801602701,1270315,7,RACK 1B
X NIPPLE,N/A,"2-7/8"" HCS BOX X PIN",CHROME,,SN43197NP003-05,M431970,1,RACK 1B
X NIPPLE,N/A,"2-7/8"" HCS BOX X PIN",CHROME,,N/A,7966420,1,RACK 1B
X NIPPLE,N/A,"2-7/8"" HCS BOX X PIN",CHROME,,SN431997NP005-07,M431970,1,RACK 1B
X NIPPLE,N/A,"2-7/8"" HCS BOX X PIN",CHROME,,SN431997NP005-07,M431970,1,RACK 1B
X NIPPLE,N/A,"2-7/8"" HCS BOX X PIN",CHROME,,SN44901BM032-02,M449010,1,RACK 1B
